2024-04-26 12:16:30,350 INFO    MainThread:12007 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-04-26 12:16:30,351 INFO    MainThread:12007 [wandb_setup.py:_flush():76] Configure stats pid to 12007
2024-04-26 12:16:30,351 INFO    MainThread:12007 [wandb_setup.py:_flush():76] Loading settings from /home/hghallab/.config/wandb/settings
2024-04-26 12:16:30,351 INFO    MainThread:12007 [wandb_setup.py:_flush():76] Loading settings from /home/hghallab/Dvlp/GANs/DCGAN/wandb/settings
2024-04-26 12:16:30,351 INFO    MainThread:12007 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-26 12:16:30,351 INFO    MainThread:12007 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-04-26 12:16:30,351 INFO    MainThread:12007 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-04-26 12:16:30,351 INFO    MainThread:12007 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-04-26 12:16:30,351 INFO    MainThread:12007 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-26 12:16:30,351 INFO    MainThread:12007 [wandb_init.py:_log_setup():521] Logging user logs to /home/hghallab/Dvlp/GANs/DCGAN/wandb/run-20240426_121630-zzmx0077/logs/debug.log
2024-04-26 12:16:30,351 INFO    MainThread:12007 [wandb_init.py:_log_setup():522] Logging internal logs to /home/hghallab/Dvlp/GANs/DCGAN/wandb/run-20240426_121630-zzmx0077/logs/debug-internal.log
2024-04-26 12:16:30,351 INFO    MainThread:12007 [wandb_init.py:_jupyter_setup():467] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x77bbab28e8c0>
2024-04-26 12:16:30,351 INFO    MainThread:12007 [wandb_init.py:init():561] calling init triggers
2024-04-26 12:16:30,351 INFO    MainThread:12007 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {'seed': 42, 'debug': False, 'model_name': 'DCGAN|FirstGan', 'loss_function': 'BCELoss', 'train_bs': 8, 'valid_bs': 8, 'epochs': 20, 'lr': 0.0002, 'n_accumulate': 4, 'device': device(type='cpu')}
2024-04-26 12:16:30,351 INFO    MainThread:12007 [wandb_init.py:init():586] re-initializing run, found existing run on stack: lf3aixsf
2024-04-26 12:16:30,353 INFO    MainThread:12007 [wandb_run.py:_finish():2064] finishing run houda222/DCGAN/lf3aixsf
2024-04-26 12:16:30,353 INFO    MainThread:12007 [wandb_run.py:_atexit_cleanup():2304] got exitcode: 0
2024-04-26 12:16:30,354 INFO    MainThread:12007 [wandb_run.py:_restore():2287] restore
2024-04-26 12:16:30,354 INFO    MainThread:12007 [wandb_run.py:_restore():2293] restore done
2024-04-26 12:16:35,241 INFO    MainThread:12007 [wandb_run.py:_footer_history_summary_info():3936] rendering history
2024-04-26 12:16:35,241 INFO    MainThread:12007 [wandb_run.py:_footer_history_summary_info():3968] rendering summary
2024-04-26 12:16:35,245 INFO    MainThread:12007 [wandb_run.py:_footer_sync_info():3895] logging synced files
2024-04-26 12:16:35,295 INFO    MainThread:12007 [wandb_init.py:init():611] starting backend
2024-04-26 12:16:35,295 INFO    MainThread:12007 [wandb_init.py:init():615] setting up manager
2024-04-26 12:16:35,297 INFO    MainThread:12007 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-04-26 12:16:35,297 INFO    MainThread:12007 [wandb_init.py:init():623] backend started and connected
2024-04-26 12:16:35,299 INFO    MainThread:12007 [wandb_run.py:_label_probe_notebook():1299] probe notebook
2024-04-26 12:16:35,299 INFO    MainThread:12007 [wandb_run.py:_label_probe_notebook():1309] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-04-26 12:16:35,299 INFO    MainThread:12007 [wandb_init.py:init():715] updated telemetry
2024-04-26 12:16:35,302 INFO    MainThread:12007 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-04-26 12:16:36,769 INFO    MainThread:12007 [wandb_run.py:_on_init():2357] communicating current version
2024-04-26 12:16:36,867 INFO    MainThread:12007 [wandb_run.py:_on_init():2366] got version response 
2024-04-26 12:16:36,867 INFO    MainThread:12007 [wandb_init.py:init():799] starting run threads in backend
2024-04-26 12:16:37,046 INFO    MainThread:12007 [wandb_run.py:_console_start():2335] atexit reg
2024-04-26 12:16:37,047 INFO    MainThread:12007 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-04-26 12:16:37,047 INFO    MainThread:12007 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-04-26 12:16:37,047 INFO    MainThread:12007 [wandb_run.py:_redirect():2280] Redirects installed.
2024-04-26 12:16:37,047 INFO    MainThread:12007 [wandb_init.py:init():842] run started, returning control to user process
2024-04-26 12:16:43,498 INFO    MainThread:12007 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-26 12:16:43,499 INFO    MainThread:12007 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-26 12:18:52,130 INFO    MainThread:12007 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-26 12:18:52,135 INFO    MainThread:12007 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-26 12:18:52,135 INFO    MainThread:12007 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-26 12:18:52,656 INFO    MainThread:12007 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-26 12:18:52,662 INFO    MainThread:12007 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-26 12:18:52,662 INFO    MainThread:12007 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-26 12:18:54,991 INFO    MainThread:12007 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-26 12:18:55,006 INFO    MainThread:12007 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-26 12:18:55,008 INFO    MainThread:12007 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-26 12:18:57,434 INFO    MainThread:12007 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-26 12:18:57,437 INFO    MainThread:12007 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-26 12:18:57,438 INFO    MainThread:12007 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-26 12:19:02,998 INFO    MainThread:12007 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-26 12:19:03,003 INFO    MainThread:12007 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-26 12:19:03,003 INFO    MainThread:12007 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-26 12:19:03,244 INFO    MainThread:12007 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-26 12:19:03,251 INFO    MainThread:12007 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-26 12:19:03,251 INFO    MainThread:12007 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-26 12:19:03,466 INFO    MainThread:12007 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-26 12:19:03,472 INFO    MainThread:12007 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-26 12:19:03,472 INFO    MainThread:12007 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-26 12:19:03,678 INFO    MainThread:12007 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-26 12:19:03,683 INFO    MainThread:12007 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-26 12:19:03,684 INFO    MainThread:12007 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-26 12:19:06,153 INFO    MainThread:12007 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-26 12:19:06,158 INFO    MainThread:12007 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-26 12:19:06,158 INFO    MainThread:12007 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-26 12:19:09,465 INFO    MainThread:12007 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-26 12:19:09,469 INFO    MainThread:12007 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-26 12:19:09,469 INFO    MainThread:12007 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-26 12:19:14,990 INFO    MainThread:12007 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-26 12:19:14,995 INFO    MainThread:12007 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-26 12:19:14,995 INFO    MainThread:12007 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-26 12:19:17,332 INFO    MainThread:12007 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-26 12:19:17,337 INFO    MainThread:12007 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-26 12:19:17,337 INFO    MainThread:12007 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-26 12:19:17,568 INFO    MainThread:12007 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-26 12:19:17,573 INFO    MainThread:12007 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-26 12:19:17,573 INFO    MainThread:12007 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-26 12:19:17,837 INFO    MainThread:12007 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-26 12:19:17,851 INFO    MainThread:12007 [jupyter.py:save_ipynb():373] not saving jupyter notebook
